run_idx,batch_size,learning_rate,max_length,dropout,final_train_loss,final_train_acc,final_val_loss,final_val_acc
1,8,1e-06,256,0.4,0.14221262781457467,0.9584090909090909,0.16124755362777607,0.9427792915531336
2,8,1e-06,256,0.5,0.14709537839347667,0.9531818181818181,0.17176798957845438,0.9373297002724795
3,8,1e-06,256,0.6,0.13869670611213555,0.9563636363636364,0.1571411147335733,0.9445958219800181
4,8,1e-06,512,0.4,0.14864078642292455,0.9545454545454546,0.16888495469870773,0.9400544959128065
5,8,1e-06,512,0.5,0.1438190211220221,0.9556818181818182,0.16550016897204128,0.9427792915531336
6,8,1e-06,512,0.6,0.1428289126672528,0.9545454545454546,0.161791796674547,0.9455040871934605
7,8,1e-05,256,0.4,0.021696550101465123,0.9963636363636363,0.08435909602068958,0.9682107175295186
8,8,1e-05,256,0.5,0.03700702009764923,0.9879545454545454,0.16423462500350308,0.9418710263396912
9,8,1e-05,256,0.6,0.01596891396276822,0.9963636363636363,0.10216662347944372,0.9645776566757494
10,8,1e-05,512,0.4,0.01780217340089042,0.9975,0.09936064726882277,0.9627611262488647
11,8,1e-05,512,0.5,0.022850678378123452,0.9961363636363636,0.08348371257560085,0.9682107175295186
12,8,1e-05,512,0.6,0.027785695845853876,0.9918181818181818,0.12145175278672705,0.9573115349682108
13,8,0.0001,256,0.4,0.0239271512681576,0.9945454545454545,0.14410061365249904,0.9564032697547684
14,8,0.0001,256,0.5,0.023057622596706177,0.9959090909090909,0.12352188100592922,0.9509536784741145
15,8,0.0001,256,0.6,0.028057010826570066,0.9915909090909091,0.15215555821592663,0.9418710263396912
16,8,0.0001,512,0.4,0.015480610388754444,0.9970454545454546,0.13416241802295428,0.9582198001816531
17,8,0.0001,512,0.5,0.05174086520109664,0.9872727272727273,0.16326196461349077,0.9391462306993642
18,8,0.0001,512,0.6,0.024811675585383042,0.9965909090909091,0.13268442306856532,0.96094459582198
19,8,0.001,256,0.4,0.6916130774671381,0.5454545454545454,0.6915920005328413,0.5458673932788374
20,8,0.001,256,0.5,0.6893447076190602,0.5454545454545454,0.6892717238785564,0.5458673932788374
21,8,0.001,256,0.6,0.68914668191563,0.5454545454545454,0.6890259242576101,0.5458673932788374
22,8,0.001,512,0.4,0.6890139017321847,0.5454545454545454,0.6889152475025343,0.5458673932788374
23,8,0.001,512,0.5,0.6893304370750081,0.5454545454545454,0.6892568279003751,0.5458673932788374
24,8,0.001,512,0.6,0.6900031197071076,0.5454545454545454,0.6898508171240488,0.5458673932788374
25,16,1e-06,256,0.4,0.22529566575180401,0.9336363636363636,0.23988359367501907,0.9237057220708447
26,16,1e-06,256,0.5,0.20652775431221182,0.9438636363636363,0.21276596965997116,0.9391462306993642
27,16,1e-06,256,0.6,0.20557236953215166,0.946590909090909,0.21677739799454593,0.9282470481380564
28,16,1e-06,512,0.4,0.2066803741184148,0.9456818181818182,0.22255194597486136,0.9282470481380564
29,16,1e-06,512,0.5,0.2179881639914079,0.9475,0.23028048246667004,0.935513169845595
30,16,1e-06,512,0.6,0.2103323330662467,0.9468181818181818,0.22081202711316122,0.9391462306993642
31,16,1e-05,256,0.4,0.02695762355219234,0.9945454545454545,0.098847314040514,0.963669391462307
32,16,1e-05,256,0.5,0.024690221485427835,0.9947727272727273,0.11318922013827208,0.9573115349682108
33,16,1e-05,256,0.6,0.026191069390624763,0.9936363636363637,0.10082972049038263,0.96094459582198
34,16,1e-05,512,0.4,0.03281199797818606,0.9920454545454546,0.09733951425152844,0.963669391462307
35,16,1e-05,512,0.5,0.031705281141806735,0.9913636363636363,0.10970241247770796,0.9573115349682108
36,16,1e-05,512,0.6,0.026416210527108474,0.9956818181818182,0.09984979713740556,0.9573115349682108
37,16,0.0001,256,0.4,0.024534297289157455,0.9927272727272727,0.18104166267237262,0.935513169845595
38,16,0.0001,256,0.5,0.013644058055625382,0.9959090909090909,0.14661818119170872,0.9564032697547684
39,16,0.0001,256,0.6,0.021069286974908952,0.9961363636363636,0.1099675272665648,0.9573115349682108
40,16,0.0001,512,0.4,0.017995332682674583,0.9968181818181818,0.10494919561956456,0.9591280653950953
41,16,0.0001,512,0.5,0.025201885081954638,0.9945454545454545,0.1449602971298863,0.9418710263396912
42,16,0.0001,512,0.6,0.041318887276786634,0.9843181818181819,0.29199557531409076,0.9009990917347865
43,16,0.001,256,0.4,0.6927644278786399,0.5454545454545454,0.6927734717078831,0.5458673932788374
44,16,0.001,256,0.5,0.689613119688901,0.5454545454545454,0.6896195057509602,0.5458673932788374
45,16,0.001,256,0.6,0.689116491837935,0.5454545454545454,0.6891203531320544,0.5458673932788374
46,16,0.001,512,0.4,0.6890983713756909,0.5454545454545454,0.6891023067460544,0.5458673932788374
47,16,0.001,512,0.5,0.6909903279217807,0.5454545454545454,0.6909917497980422,0.5458673932788374
48,16,0.001,512,0.6,0.6890282130241394,0.5454545454545454,0.6890325200730476,0.5458673932788374
49,32,1e-06,256,0.4,0.3307951675808948,0.9390909090909091,0.3418075578553336,0.927338782924614
50,32,1e-06,256,0.5,0.4320183055124421,0.9227272727272727,0.43822833299636843,0.9227974568574023
51,32,1e-06,256,0.6,0.35817743211552716,0.9259090909090909,0.36359213079724995,0.9209809264305178
52,32,1e-06,512,0.4,0.3838784344818281,0.9293181818181818,0.38805677124432153,0.9291553133514986
53,32,1e-06,512,0.5,0.4392769226561422,0.9186363636363636,0.4454892635345459,0.9200726612170754
54,32,1e-06,512,0.6,0.4110041671041129,0.9177272727272727,0.4179684613432203,0.9137148047229791
55,32,1e-05,256,0.4,0.04074064151559403,0.9906818181818182,0.10997735112905502,0.9582198001816531
56,32,1e-05,256,0.5,0.0504044978339495,0.9870454545454546,0.10496423265763692,0.9591280653950953
57,32,1e-05,256,0.6,0.049736757708740406,0.9881818181818182,0.10918450275702136,0.9564032697547684
58,32,1e-05,512,0.4,0.04890246349184409,0.9875,0.10329696254006454,0.96094459582198
59,32,1e-05,512,0.5,0.04591967877459483,0.9870454545454546,0.11520411159311023,0.9527702089009991
60,32,1e-05,512,0.6,0.046606009812566684,0.985,0.1187162099140031,0.9518619436875567
61,32,0.0001,256,0.4,0.009418390860841811,0.9981818181818182,0.12176860391960613,0.9582198001816531
62,32,0.0001,256,0.5,0.01825881520357064,0.9940909090909091,0.1270852957852185,0.963669391462307
63,32,0.0001,256,0.6,0.013387717660077835,0.9956818181818182,0.11215860446515892,0.9645776566757494
64,32,0.0001,512,0.4,0.012193979124329391,0.9963636363636363,0.11143150643578598,0.96094459582198
65,32,0.0001,512,0.5,0.01299129492448022,0.9981818181818182,0.08469365841842123,0.9682107175295186
66,32,0.0001,512,0.6,0.01262196023489578,0.9965909090909091,0.14869583841812398,0.9500454132606722
67,32,0.001,256,0.4,0.6898020894631095,0.5454545454545454,0.6900039740971157,0.5458673932788374
68,32,0.001,256,0.5,0.6897395166797914,0.5454545454545454,0.6899479184831891,0.5458673932788374
69,32,0.001,256,0.6,0.6894621551036835,0.5454545454545454,0.6897041440010071,0.5458673932788374
70,32,0.001,512,0.4,0.689271723014721,0.5454545454545454,0.6896968058177403,0.5458673932788374
71,32,0.001,512,0.5,0.6890814174776492,0.5454545454545454,0.6894364493233817,0.5458673932788374
72,32,0.001,512,0.6,0.6937965992568196,0.5454545454545454,0.6945259417806353,0.5458673932788374
73,64,1e-06,256,0.4,0.6215338300967562,0.6827272727272727,0.6245269808504317,0.6811989100817438
74,64,1e-06,256,0.5,0.5870957089507062,0.8311363636363637,0.59270954463217,0.818346957311535
75,64,1e-06,256,0.6,0.5574750563372737,0.8036363636363636,0.5609569019741483,0.7892824704813806
76,64,1e-06,512,0.4,0.5506625080454177,0.8993181818181818,0.5558452407519022,0.8973660308810173
77,64,1e-06,512,0.5,0.6169236345567565,0.8168181818181818,0.6206541226969825,0.7874659400544959
78,64,1e-06,512,0.6,0.6224100088727647,0.775,0.6251345210605197,0.7702089009990918
79,64,1e-05,256,0.4,0.07028052429466145,0.9784090909090909,0.11026551460640298,0.9554950045413261
80,64,1e-05,256,0.5,0.09626576439410016,0.9679545454545454,0.15663225969506633,0.9391462306993642
81,64,1e-05,256,0.6,0.07431063277349956,0.9786363636363636,0.11308335378352138,0.9554950045413261
82,64,1e-05,512,0.4,0.07388060809909433,0.9788636363636364,0.11138589669846827,0.9554950045413261
83,64,1e-05,512,0.5,0.07758335326460825,0.9777272727272728,0.11829851091735893,0.9500454132606722
84,64,1e-05,512,0.6,0.07441993651614673,0.9797727272727272,0.11722899559471342,0.9509536784741145
85,64,0.0001,256,0.4,0.022777941982275333,0.9961363636363636,0.09051084539128675,0.963669391462307
86,64,0.0001,256,0.5,0.014095208411901325,0.9947727272727273,0.10761026938497606,0.9573115349682108
87,64,0.0001,256,0.6,0.01454201967968349,0.9970454545454546,0.10351554312122364,0.9618528610354223
88,64,0.0001,512,0.4,0.014691238210577032,0.9956818181818182,0.17047462777958977,0.9436875567665758
89,64,0.0001,512,0.5,0.01883404512309294,0.9956818181818182,0.10891435647176372,0.9564032697547684
90,64,0.0001,512,0.6,0.010891663042180564,0.9970454545454546,0.08343968261033297,0.9627611262488647
91,64,0.001,256,0.4,0.690971635390019,0.5454545454545454,0.6930126316017575,0.5458673932788374
92,64,0.001,256,0.5,0.6891605854034424,0.5454545454545454,0.6901492277781168,0.5458673932788374
93,64,0.001,256,0.6,0.6935334957164266,0.5454545454545454,0.6960113015439775,0.5458673932788374
94,64,0.001,512,0.4,0.6900731264681056,0.5454545454545454,0.6918915410836538,0.5458673932788374
95,64,0.001,512,0.5,0.6970100998878479,0.5454545454545454,0.6999119089709388,0.5458673932788374
96,64,0.001,512,0.6,0.6890255160953688,0.5454545454545454,0.690233568350474,0.5458673932788374
97,128,1e-06,256,0.4,0.6567150286265782,0.6727272727272727,0.6569496724340651,0.6712079927338783
98,128,1e-06,256,0.5,0.6574778148106166,0.6229545454545454,0.6577603220939636,0.6221616712079927
99,128,1e-06,256,0.6,0.6541363988603864,0.8168181818181818,0.6554470393392775,0.7965485921889192
100,128,1e-06,512,0.4,0.6426083139010839,0.7090909090909091,0.645472957028283,0.6839237057220708
101,128,1e-06,512,0.5,0.6537675278527396,0.7252272727272727,0.6542453434732225,0.7211625794732062
102,128,1e-06,512,0.6,0.6452551228659493,0.6427272727272727,0.6466447114944458,0.6530426884650318
103,128,1e-05,256,0.4,0.11721388335738864,0.9665909090909091,0.14592054155137804,0.9518619436875567
104,128,1e-05,256,0.5,0.11995516163962228,0.9675,0.14632008721431097,0.9473206176203451
105,128,1e-05,256,0.6,0.1214032911828586,0.9613636363636363,0.14520236435863706,0.9518619436875567
106,128,1e-05,512,0.4,0.11803499055760247,0.9638636363636364,0.147640075120661,0.9445958219800181
107,128,1e-05,512,0.5,0.120673946504082,0.9622727272727273,0.15269403904676437,0.9491371480472298
108,128,1e-05,512,0.6,0.12410051354340144,0.9611363636363637,0.15420212513870662,0.9473206176203451
109,128,0.0001,256,0.4,0.013595066219568252,0.9970454545454546,0.1048622905380196,0.9654859218891917
110,128,0.0001,256,0.5,0.013315801122891052,0.9984090909090909,0.0851639856894811,0.9727520435967303
111,128,0.0001,256,0.6,0.020405245399368662,0.9943181818181818,0.10103625845577982,0.9591280653950953
112,128,0.0001,512,0.4,0.02200185874743121,0.9918181818181818,0.16864200433095297,0.9382379654859219
113,128,0.0001,512,0.5,0.019309468806854316,0.9952272727272727,0.10447998551858796,0.963669391462307
114,128,0.0001,512,0.6,0.018849684610696776,0.995,0.10907089130745994,0.9673024523160763
115,128,0.001,256,0.4,0.690698904650552,0.5454545454545454,0.6904512577586703,0.5458673932788374
116,128,0.001,256,0.5,0.6929588420050484,0.5454545454545454,0.6916317741076151,0.5458673932788374
117,128,0.001,256,0.6,0.6891554015023368,0.5454545454545454,0.6883998976813422,0.5458673932788374
118,128,0.001,512,0.4,0.3203156990664346,0.9031818181818182,0.3798999951945411,0.8764759309718437
119,128,0.001,512,0.5,0.6892014401299613,0.5454545454545454,0.688419885105557,0.5458673932788374
120,128,0.001,512,0.6,0.6890457613127572,0.5454545454545454,0.6884344816207886,0.5458673932788374
